หมู่บ้าน,ตำบล,อำเภอ,จังหวัด,Latitude,Longitude,sea level (m),ความสูงเสา (ม.),ตำแหน่ง
หมู่ 13 หนองจิกน้ำดำ,ทุ่งกระบ่ำ,เลาขวัญ,กาญจนบุรี,14.601033,99.615861,114,9,ผู้ใหญ่บ้าน
หมู่ 6 สี่กั๊ก,ทุ่งกระบ่ำ,เลาขวัญ,กาญจนบุรี,14.588587,99.638117,90,9,ผู้ใหญ่บ้าน
หมู่ 7 หนองปลิง,ทุ่งกระบ่ำ,เลาขวัญ,กาญจนบุรี,14.567454,99.634531,104,9,ผู้ใหญ่บ้าน
หมู่ 8 ชัฎดงพลับ,ทุ่งกระบ่ำ,เลาขวัญ,กาญจนบุรี,14.625292,99.652235,86,9,ผู้ใหญ่บ้าน
หมู่ 2 หนองเค็ด,หนองนกแก้ว,เลาขวัญ,กาญจนบุรี,14.477975,99.653895,105,9,ผู้ใหญ่บ้าน
หมู่ 4 หนองจั่น,หนองนกแก้ว,เลาขวัญ,กาญจนบุรี,14.532685,99.649881,106,9,ผู้ใหญ่บ้าน
หมู่ 5 หนองขบ,หนองนกแก้ว,เลาขวัญ,กาญจนบุรี,14.494989,99.673001,87,9,ผู้ใหญ่บ้าน
หมู่ 9 หนองข่อย,หนองนกแก้ว,เลาขวัญ,กาญจนบุรี,14.515210,99.633163,132,9,ผู้ใหญ่บ้าน
หมู่ 10 หนองมะสังข์,หนองประดู่,เลาขวัญ,กาญจนบุรี,14.486867,99.695016,73,9,ผู้ใหญ่บ้าน
หมู่ 11 หนองตาเกิด,หนองประดู่,เลาขวัญ,กาญจนบุรี,14.448948,99.723167,42,9,ผู้ใหญ่บ้าน
หมู่ 3 ตลุงเหนือ,หนองประดู่,เลาขวัญ,กาญจนบุรี, 14.421935,99.727385,40,9,ผู้ใหญ่บ้าน
หมู่ 5 หนองปรือ,หนองประดู่,เลาขวัญ,กาญจนบุรี,14.435006,99.735956,40,9,ผู้ใหญ่บ้าน
หมู่ 6 น้ำโจน,หนองประดู่,เลาขวัญ,กาญจนบุรี,14.481615,99.745157,56,9,ผู้ใหญ่บ้าน
หมู่ 8 หนองแกแดง,หนองประดู่,เลาขวัญ,กาญจนบุรี,14.446396,99.667616,75,9,กำนัน
หมู่ 9 เหียงงาม,หนองประดู่,เลาขวัญ,กาญจนบุรี,14.406573,99.741555,34,9,ผู้ใหญ่บ้าน
หมู่ 1 หนองมะเขือ,วังไผ่,ห้วยกระเจา,กาญจนบุรี,14.359956,99.672070,43,18,ผู้ใหญ่บ้าน
หมู่ 10 หนองโก,วังไผ่,ห้วยกระเจา,กาญจนบุรี,14.396920,99.666640,57,9,ผู้ใหญ่บ้าน
หมู่ 11 วังสมบูรณ์,วังไผ่,ห้วยกระเจา,กาญจนบุรี,14.379446,99.647717,62,9,ผู้ใหญ่บ้าน
หมู่ 2 วังมะค่า,วังไผ่,ห้วยกระเจา,กาญจนบุรี,14.358156,99.663729,58,9,ผู้ใหญ่บ้าน
หมู่ 3 นาตามิ่ง,วังไผ่,ห้วยกระเจา,กาญจนบุรี,14.376531,99.675022,46,9,ผู้ใหญ่บ้าน
หมู่ 4 วังไผ่,วังไผ่,ห้วยกระเจา,กาญจนบุรี,14.362260,99.668808,49,9,ผู้ช่วยผู้ใหญ่บ้าน
หมู่ 5 นาใหม่,วังไผ่,ห้วยกระเจา,กาญจนบุรี,14.391267,99.692071,42,9,กำนัน
หมู่ 6 หนองตายอด,วังไผ่,ห้วยกระเจา,กาญจนบุรี,14.373447,99.644687,59,9,ผู้ใหญ่บ้าน / ผู้ช่วยผู้ใหญ่บ้าน
หมู่ 7 หนองมะสังข์,วังไผ่,ห้วยกระเจา,กาญจนบุรี,14.379073,99.654609,56,9,ผู้ใหญ่บ้าน
หมู่ 9 บ่อทอง,วังไผ่,ห้วยกระเจา,กาญจนบุรี,14.408834,99.644617,75,9,ผู้ใหญ่บ้าน
หมู่ 12 กรอกตาโพธิ์,สระลงเรือ,ห้วยกระเจา,กาญจนบุรี,14.374583,99.736028,26,9,ผู้ใหญ่บ้าน
หมู่ 13 หนองปลอดภัย,สระลงเรือ,ห้วยกระเจา,กาญจนบุรี,14.365289,99.727479,27,9,ผู้ใหญ่บ้าน
หมู่ 6 ห้วยลึก,สระลงเรือ,ห้วยกระเจา,กาญจนบุรี,14.391364,99.746643,28,9,ผู้ใหญ่บ้าน
หมู่ 7 หนองเจริญสุข,สระลงเรือ,ห้วยกระเจา,กาญจนบุรี,14.365251,99.716418,30,9,กำนัน / ผู้ช่วยผู้ใหญ่บ้าน
หมู่ 9 ดงรัง,สระลงเรือ,ห้วยกระเจา,กาญจนบุรี,14.376645,99.738811,26,9,ผู้ใหญ่บ้าน
